name,dist,value,made,desc,team,opp,x,y,player_id,event_id,zone,area,date,team,opp,running,jump,hook,layup,driving,dunk,alley,reverse,turnaround,fadeaway,bank,finger,putback,float,pullup,step,cutting,tip,game_id,date,period,min_left,sec_left
Q. Cook,24,3,False,Jump Shot,LAC,LAL,-240,25,1626188,276,24+ ft.,Left Side(L),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,2,3,55
L. Shamet,11,2,False,Pullup Jump shot,LAC,LAL,17,116,1629013,286,8-16 ft.,Center(C),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0021900002,20191022,2,3,33
L. James,1,2,False,Running Layup Shot,LAC,LAL,-11,5,2544,289,Less Than 8 ft.,Center(C),20191022,LAC,LAL,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,2,3,23
K. Leonard,24,3,False,Jump Shot,LAC,LAL,-223,101,202695,293,24+ ft.,Left Side Center(LC),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,2,3,13
A. Davis,18,2,True,Jump Shot,LAC,LAL,-139,126,203076,305,16-24 ft.,Left Side Center(LC),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,2,2,33
L. Williams,16,2,True,Driving Floating Jump Shot,LAC,LAL,34,166,101150,306,16-24 ft.,Center(C),20191022,LAC,LAL,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0021900002,20191022,2,2,21
A. Davis,2,2,True,Layup Shot,LAC,LAL,-7,25,203076,307,Less Than 8 ft.,Center(C),20191022,LAC,LAL,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,2,2,8
K. Leonard,17,2,True,Fadeaway Jump Shot,LAC,LAL,177,-15,202695,314,16-24 ft.,Right Side(R),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0021900002,20191022,2,1,54
L. James,33,3,False,Step Back Jump shot,LAC,LAL,-188,283,2544,315,24+ ft.,Left Side Center(LC),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0021900002,20191022,2,1,33
L. James,3,2,False,Driving Layup Shot,LAC,LAL,-23,26,2544,324,Less Than 8 ft.,Center(C),20191022,LAC,LAL,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,2,1,18
L. Shamet,1,2,True,Running Layup Shot,LAC,LAL,-2,15,1629013,327,Less Than 8 ft.,Center(C),20191022,LAC,LAL,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,2,1,13
A. Davis,4,2,False,Pullup Jump shot,LAC,LAL,-40,21,203076,329,Less Than 8 ft.,Center(C),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0021900002,20191022,2,0,59
